name,accuracy,precision,recall,f1,auc,train_time_s,comm_kib,data_in_clear,updates_in_clear,tamper_evident,poisoning_defense,notes
Only HE,0.9824561403508771,0.972972972972973,1.0,0.9863013698630136,0.9973544973544973,5.814230400000042,74466.26953125,True,True,False,False,"train=0.02s, enc_infer=5.79s, ct_size=326.6 KiB"
Only HE,0.9736842105263158,0.9859154929577465,0.9722222222222222,0.9790209790209791,0.9957010582010581,5.812151700000186,74423.07421875,True,True,False,False,"train=0.02s, enc_infer=5.80s, ct_size=326.4 KiB"
Only HE,0.9649122807017544,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9953703703703703,5.63756189999981,74436.87890625,True,True,False,False,"train=0.02s, enc_infer=5.62s, ct_size=326.5 KiB"
Firdaus BC-FL-HE,0.85,0.9523809523809523,0.7142857142857143,0.8163265306122449,0.9207589285714286,2.8553483999999116,26116.2353515625,False,False,True,False,"clusters=2, blocks=42, accepted=80, rejected=0, top_rewards={'H0': 16.68085106382979, 'H2': 17.255319148936174, 'H1': 14.255319148936172}"
Firdaus BC-FL-HE,0.8666666666666667,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.9475446428571428,2.5365589999998974,26118.1953125,False,False,True,False,"clusters=2, blocks=42, accepted=80, rejected=0, top_rewards={'H2': 16.46808510638298, 'H0': 16.191489361702125, 'H3': 12.65957446808511}"
Firdaus BC-FL-HE,0.8333333333333334,0.9090909090909091,0.7142857142857143,0.8,0.8694196428571429,2.553073700000141,26113.5654296875,False,False,True,False,"clusters=2, blocks=42, accepted=80, rejected=0, top_rewards={'H1': 15.553191489361703, 'H2': 15.553191489361696, 'H0': 15.148936170212764}"
Firdaus BC-FL-HE,0.7727272727272727,0.7435897435897436,0.5370370370370371,0.6236559139784946,0.8487037037037037,2.2567062000000533,26119.205078125,False,False,True,False,"clusters=2, blocks=42, accepted=80, rejected=0, top_rewards={'H1': 15.098360655737698, 'H0': 14.983606557377046, 'H3': 15.262295081967213}"
Firdaus BC-FL-HE,0.7142857142857143,0.6086956521739131,0.5185185185185185,0.56,0.807037037037037,2.3664896999998746,26118.3994140625,False,False,True,False,"clusters=2, blocks=42, accepted=80, rejected=0, top_rewards={'H2': 15.377049180327862, 'H1': 15.270491803278688, 'H3': 11.803278688524587}"
Firdaus BC-FL-HE,0.7727272727272727,0.9523809523809523,0.37037037037037035,0.5333333333333333,0.8605555555555555,2.077771800000164,26116.7197265625,False,False,True,False,"clusters=2, blocks=28, accepted=66, rejected=14, top_rewards={'H0': 3.2704918032786883, 'H1': 12.745901639344265, 'H2': 13.754098360655735}"
Firdaus BC-FL-HE,0.9824561403508771,0.972972972972973,1.0,0.9863013698630136,0.9973544973544973,2.157477100000051,26116.03515625,False,False,True,False,"clusters=2, blocks=42, accepted=80, rejected=0, top_rewards={'H0': 18.098901098901102, 'H1': 18.98901098901099, 'H2': 19.021978021978022}"
Firdaus BC-FL-HE,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9950396825396826,2.3101524000001064,26117.2822265625,False,False,True,False,"clusters=2, blocks=42, accepted=80, rejected=0, top_rewards={'H1': 19.593406593406595, 'H0': 19.582417582417584, 'H3': 19.615384615384617}"
Firdaus BC-FL-HE,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9927248677248678,2.229843200000005,26116.9931640625,False,False,True,False,"clusters=2, blocks=42, accepted=80, rejected=0, top_rewards={'H1': 19.46153846153846, 'H2': 19.395604395604394, 'H3': 19.164835164835164}"
Hybrid (Lite),0.85,0.9523809523809523,0.7142857142857143,0.8163265306122449,0.921875,6.677098800000067,44501.8583984375,False,False,True,True,"clusters=2, blocks=42, accepted=80, rej_norm=0, rej_acc=0, rej_rep=0, dp_sigma=0.001, norm_bound=10.0, enc_infer=3.97s"
Hybrid (Lite),0.8666666666666667,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.9475446428571428,6.1514755999999124,44504.2529296875,False,False,True,True,"clusters=2, blocks=42, accepted=80, rej_norm=0, rej_acc=0, rej_rep=0, dp_sigma=0.001, norm_bound=10.0, enc_infer=3.52s"
Hybrid (Lite),0.8333333333333334,0.9090909090909091,0.7142857142857143,0.8,0.8683035714285714,5.603272199999992,44504.09375,False,False,True,True,"clusters=2, blocks=42, accepted=80, rej_norm=0, rej_acc=0, rej_rep=0, dp_sigma=0.001, norm_bound=10.0, enc_infer=3.37s"
Hybrid (Lite),0.7727272727272727,0.7435897435897436,0.5370370370370371,0.6236559139784946,0.8487037037037036,8.538285500000029,44502.30859375,False,False,True,True,"clusters=2, blocks=42, accepted=80, rej_norm=0, rej_acc=0, rej_rep=0, dp_sigma=0.001, norm_bound=10.0, enc_infer=5.82s"
Hybrid (Lite),0.7142857142857143,0.6086956521739131,0.5185185185185185,0.56,0.8072222222222222,7.919938100000081,44501.9677734375,False,False,True,True,"clusters=2, blocks=42, accepted=80, rej_norm=0, rej_acc=0, rej_rep=0, dp_sigma=0.001, norm_bound=10.0, enc_infer=5.58s"
Hybrid (Lite),0.7922077922077922,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.8618518518518519,8.593826499999977,41515.0703125,False,False,True,True,"clusters=2, blocks=29, accepted=67, rej_norm=0, rej_acc=13, rej_rep=0, dp_sigma=0.001, norm_bound=10.0, enc_infer=6.56s"
Hybrid (Lite),0.9824561403508771,0.972972972972973,1.0,0.9863013698630136,0.9973544973544973,10.912224600000172,44501.2177734375,False,False,True,True,"clusters=2, blocks=42, accepted=80, rej_norm=0, rej_acc=0, rej_rep=0, dp_sigma=0.001, norm_bound=10.0, enc_infer=8.44s"
